date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:25:32	45620/45620	U-----	200	untouched ('OK')	text/html	date:Wed,%2001%20Feb%202017%2018:46:12%20GMT	http://recept.mohem.se/ShowRecipe.aspx?recipe_id=722	C:/Users/Mathias/Documents/Websites/Recept/recept.mohem.se/ShowRecipe2989.html	(from http://recept.mohem.se/RecipeOverview.aspx)
19:25:32	42052/42052	U-----	200	untouched ('OK')	text/html	date:Wed,%2001%20Feb%202017%2018:46:13%20GMT	http://recept.mohem.se/ShowRecipe.aspx?recipe_id=719	C:/Users/Mathias/Documents/Websites/Recept/recept.mohem.se/ShowRecipe497e.html	(from http://recept.mohem.se/RecipeOverview.aspx)
19:25:33	46357/46357	U-----	200	untouched ('OK')	text/html	date:Wed,%2001%20Feb%202017%2018:46:12%20GMT	http://recept.mohem.se/ShowRecipe.aspx?recipe_id=720	C:/Users/Mathias/Documents/Websites/Recept/recept.mohem.se/ShowRecipea33f.html	(from http://recept.mohem.se/RecipeOverview.aspx)
19:25:34	46537/46537	U-----	200	untouched ('OK')	text/html	date:Wed,%2001%20Feb%202017%2018:46:17%20GMT	http://recept.mohem.se/ShowRecipe.aspx?recipe_id=716	C:/Users/Mathias/Documents/Websites/Recept/recept.mohem.se/ShowRecipe2d5d.html	(from http://recept.mohem.se/RecipeOverview.aspx)
19:25:36	42020/42020	U-----	200	untouched ('OK')	text/html	date:Wed,%2001%20Feb%202017%2018:46:13%20GMT	http://recept.mohem.se/ShowRecipe.aspx?recipe_id=718	C:/Users/Mathias/Documents/Websites/Recept/recept.mohem.se/ShowRecipe3f71.html	(from http://recept.mohem.se/RecipeOverview.aspx)
19:25:36	45505/45505	---M--	200	added ('OK')	text/html	date:Sun,%2005%20Feb%202017%2018:25:35%20GMT	http://recept.mohem.se/ShowRecipe.aspx?recipe_id=711	C:/Users/Mathias/Documents/Websites/Recept/recept.mohem.se/ShowRecipe94f1.html	(from http://recept.mohem.se/RecipeOverview.aspx)
19:25:36	43479/43479	U-----	200	untouched ('OK')	text/html	date:Wed,%2001%20Feb%202017%2018:46:16%20GMT	http://recept.mohem.se/ShowRecipe.aspx?recipe_id=717	C:/Users/Mathias/Documents/Websites/Recept/recept.mohem.se/ShowRecipe0926.html	(from http://recept.mohem.se/RecipeOverview.aspx)
19:25:37	33123/33123	U-----	200	untouched ('OK')	text/html	date:Wed,%2001%20Feb%202017%2018:46:18%20GMT	http://recept.mohem.se/ShowRecipe.aspx?recipe_id=715	C:/Users/Mathias/Documents/Websites/Recept/recept.mohem.se/ShowRecipebae5.html	(from http://recept.mohem.se/RecipeOverview.aspx)
19:25:38	32682/32682	---M--	200	added ('OK')	text/html	date:Sun,%2005%20Feb%202017%2018:25:38%20GMT	http://recept.mohem.se/ShowRecipe.aspx?recipe_id=710	C:/Users/Mathias/Documents/Websites/Recept/recept.mohem.se/ShowRecipef014.html	(from http://recept.mohem.se/RecipeOverview.aspx)
19:25:38	30762/30762	U-----	200	untouched ('OK')	text/html	date:Wed,%2001%20Feb%202017%2018:46:19%20GMT	http://recept.mohem.se/ShowRecipe.aspx?recipe_id=714	C:/Users/Mathias/Documents/Websites/Recept/recept.mohem.se/ShowRecipe5a7a.html	(from http://recept.mohem.se/RecipeOverview.aspx)
